,reaction,Unnamed: 0,dG,dG_std,ddG0,dG_prime,lower_bound,upper_bound,sign,direction
121,R09284,121,-149.12678459999998,121.24169779999998,-0.002129889,-149.1289145,-512.8540078999999,214.59617889999998,-110056.5104,0
122,R10351,122,-376.62105499999996,74.12965262,44.81747386,-331.80358110000003,-554.192539,-109.41462320000001,60636.76785,2
123,R05443,123,-427.8909839,57.28335551,42.37685077,-385.5141332,-557.3641997000001,-213.66406669999998,119088.7015,2
124,R05337,124,-19.09833976,7.721442164,-0.047843809,-19.14618357,-42.31051006,4.018142922,-170.00967649999998,0
125,R05440,125,-354.2572497,74.23767032,42.37684892,-311.8804008,-534.5934118,-89.16738984,47668.29915,2
126,R08319,126,-83.87028898,178.44141299999998,-81.08885766,-164.9591466,-700.2833856000001,370.3650924,-259360.5208,0
127,R05447,127,-423.6241013,238.2450111,-42.74945562,-466.37355690000004,-1181.10859,248.3614764,-293341.8733,0
128,R05446,128,-367.2001508,160.270953,-124.8485114,-492.04866219999997,-972.8615212000001,-11.2358032,10930.88059,0
129,R00125,129,-21.87495233,6.313095645,0.022789779,-21.85216256,-40.7914495,-2.912875625,118.8204189,0
130,R05332,130,19.13431789,6.403599986000001,-42.23531413,-23.10099624,-42.3117962,-3.890196282,164.6011923,0
131,R00129,131,-118.96303870000001,106.3530763,-39.81260182,-158.7756405,-477.8348694,160.2835884,-76589.08752999999,0
132,R09281,132,67.42056054,6.312512432999999,-44.81535222,22.60520832,3.6676710210000003,41.54274562,152.3651242,0
133,R09280,133,-34.44743397,6.336526342999999,49.65723279,15.20979881,-3.7997802189999996,34.21937784,-130.026115,0
134,R04758,134,66.4567888,6.302237619,-44.81747386,21.63931494,2.732602083,40.5460278,110.79616000000001,0
135,R04751,135,5.977400812999999,9.102289984,43.60981331,49.58721412,22.28034417,76.89408407,1713.2266579999998,1
136,R04753,136,111.9329689,6.587837829,-44.81318943,67.11977949,47.356266,86.88329298,4114.468333,1
137,R04756,137,-8.201452526,7.524664195,0.0,-8.201452526,-30.77544511,14.37254006,-442.3213177,0
138,R09252,138,-75.95453591,8.405123571,81.09121793,5.136682013,-20.078688699999997,30.35205273,-609.4294181,0
139,R09253,139,-22.52421956,6.5191376629999995,-1.231376141,-23.75559571,-43.313008700000005,-4.198182721,181.8359247,0
140,R09250,140,-247.3600627,812.8341518999999,-299.96532030000003,-547.325383,-2985.827839,1891.177073,-5646729.152000001,0
141,R09251,141,-176.6857591,580.6125357999999,-214.2609431,-390.94670210000004,-2132.78431,1350.890905,-2881158.9269999997,0
142,R09256,142,11.38712973,6.5729382979999995,-40.74171639,-29.35458667,-49.07340156,-9.635771776,472.8600977,0
143,R10022,143,-28.34603341,73.89725818,-41.16438849,-69.5104219,-291.2021964,152.1813526,-44315.54415,0
144,R10027,144,-236.81100919999997,117.3210912,3.66220258,-233.1488066,-585.1120802,118.814467,-69519.77994,0
145,R10026,145,-1390.930232,76.28121101,93.2767397,-1297.653493,-1526.497126,-1068.80986,1631535.18,2
146,R10025,146,-501.33167189999995,9.016669762000001,3.641791969,-497.68987989999994,-524.7398892,-470.63987060000005,246963.5136,2
147,R10024,147,-444.5523761,74.10736549,44.81747386,-399.7349023,-622.0569988,-177.41280580000003,110360.8775,2
148,R07672,148,-0.077471913,6.483908682999999,0.0,-0.077471913,-19.52919796,19.37425414,-378.36364439999994,0
149,R04531,149,-13.43025624,6.591516062,-2.878429775,-16.30868602,-36.08323421,3.4658621660000004,-125.0595163,0
150,R04532,150,35.16331108,7.8959892620000005,-41.35204171,-6.188730625,-29.87669841,17.49923716,-522.8194311000001,0
151,R09282,151,12.97426457,7.904958011000001,0.000645647,12.97491022,-10.73996381,36.68978425,-394.04695519999996,0
152,R08374,152,83.60386865,90.2611651,-42.85219119,40.75167746,-230.03181780000003,311.5351728,-71663.00211,0
153,R07677,153,115.14865630000001,96.48866228,-0.012953121000000001,115.13570320000001,-174.3302836,404.60168999999996,-70534.32738999999,0
154,R10289,154,-92.43526475,6.401015667,3.654292948,-88.7809718,-107.9840188,-69.5779248,7513.303940000001,2
155,R10281,155,-29.89757138,91.71842457,-0.002929984,-29.90050136,-305.0557751,245.25477239999998,-74816.38467,0
156,R10358,156,-473.7855534,10.70004416,44.81747488,-428.9680785,-461.068211,-396.867946,182983.1939,2
157,R10688,157,-151.3534032,121.5186736,3.611605814,-147.74179740000002,-512.2978182,216.8142234,-111073.4536,0
158,R10687,158,155.25493369999998,121.50576470000001,2.383477838,157.6384115,-206.8788826,522.1557056,-108022.9889,0
159,R10287,159,-23.36586182,72.06507193,0.002721187,-23.36314063,-239.55835640000004,192.8320752,-46194.53499,0
160,R10681,160,157.4716733,129.8015992,-0.037896291,157.433777,-231.97102059999997,546.8385746,-126850.7023,0
161,R10286,161,-20.00269787,96.07518978,0.002721187,-19.99997669,-308.225546,268.2255927,-82673.97975,0
162,R10460,162,-7.394394773999999,6.391615647999999,-0.048520308,-7.442915082000001,-26.61776203,11.73193186,-312.2777704,0
163,R10971,163,26.51974234,114.702081,-41.22097939,-14.70123705,-358.8074801,329.405006,-118192.9801,0
164,R10972,164,28.19995413,6.3446673239999996,-44.81436061,-16.61440648,-35.64840845,2.419595492,-86.25472839,0
165,R10974,165,21.88917279,100.63335390000002,2.7060031739999997,24.59517597,-277.3048857,326.49523769999996,-90538.72457,0
166,R11082,166,154.91509580000002,101.6257791,-49.8801941,105.03490179999999,-199.8424355,409.9122391,-81917.8602,0
167,R11083,167,-26.42168119,6.389436837000001,-42.38281113,-68.80449232,-87.97280283,-49.63618181,4366.634036,2
168,R11081,168,-1.860371908,6.313677847999999,0.0,-1.860371908,-20.80140545,17.08066164,-355.30176810000006,0
169,R11086,169,-21.33904841,131.60420159999998,-43.61675603,-64.95580443,-459.7684092,329.8568004,-151657.7364,0
170,R11087,170,51.14416385,127.90520929999998,-41.62622221,9.517941646,-374.1976863,393.2335695,-147147.0919,0
171,R11088,171,-5.993729505,226.3265231,-45.05247402,-51.04620353,-730.0257727999999,627.9333657999999,-458407.5406,0
172,R00530,172,47.36216696,6.764999,1.721355657,49.08352262,28.78852562,69.37851962,1997.3052899999998,1
173,R00531,173,17.38658923,6.784162031,-83.69968890000001,-66.31309966,-86.66558575,-45.96061357,3983.203496,2
174,R00532,174,-39.10222515,114.7137832,-43.47576513,-82.57799027,-426.7193399,261.56335930000006,-111614.144,0
175,R00533,175,-123.5488905,13.45832377,-40.26999643,-163.8188869,-204.1938582,-123.4439156,25206.4894,2
176,R00535,176,34.09776495,125.9725564,-41.21907533,-7.121310375,-385.0389796,370.7963588,-142771.0516,0
177,R00536,177,36.7231419,179.04909080000002,-41.21889222,-4.49575032,-541.6430227000001,532.6515221,-288506.9805,0
178,R06266,178,-494.8987053999999,127.4510835,44.81845567,-450.0802498,-832.4335003,-67.7269993,56378.22309,2
179,R06267,179,-558.9143737,258.8461158,44.82319319,-514.0911805,-1290.629528,262.4471669,-338722.0631,0
180,R06265,180,-441.97204580000005,8.956391742000001,44.81997916,-397.1520666,-424.02124180000004,-370.2828914,157007.8114,2
181,R01061,181,47.48621468,6.332783197,-46.48147807,1.004736613,-17.99361298,20.0030862,-359.9277915,0
182,R01064,182,7.720026203,6.355748971000001,2.440883235,10.16090944,-8.906337472999999,29.22815635,-260.3158242,0
183,R01067,183,3.333191479,6.338942174,-0.162265384,3.170926095,-15.84590043,22.18775262,-351.5849187,0
184,R01066,184,12.33376772,6.3872619639999995,-0.069015114,12.2647526,-6.897033292000001,31.42653849,-216.74988219999997,0
185,R01069,185,10.61001244,6.336016138,4.644178902,15.25419134,-3.753857074,34.26223975,-128.6155511,0
186,R01068,186,11.5401984,6.327544124,4.644178902,16.1843773,-2.798255072,35.16700967,-98.40626318,0
187,R03372,187,-34.46694961,6.624202987,23.7692104,-10.69773921,-30.57034817,9.174869751000001,-280.4789627,0
188,R03371,188,-33.53676366,6.614208181,23.7692104,-9.767553252999999,-29.6101778,10.07507129,-298.3246522,0
189,R03374,189,-2.788962048,6.373717875,0.01211767,-2.7768443780000003,-21.897998,16.34430925,-357.90765130000005,0
190,R01289,190,-51.315219799999994,180.14033500000002,0.020638659,-51.29458114,-591.7155861,489.1264239,-289423.7286,0
191,R01288,191,-55.36398867,9.519219054,-1.259875142,-56.62386382,-85.18152098,-28.06620666,2390.722171,2
192,R01285,192,21.34614776,180.1395112,-1.231608713,20.11453905,-520.3039946,560.5330727,-291647.5968,0
